販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒041:鮮魚⇒004102:切身･丸物,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,00410201:焼物用,00410201:焼物用,00410201:焼物用,00410202:煮物用,00410202:煮物用,00410202:煮物用,00410203:鍋物用,00410203:鍋物用,00410203:鍋物用,00410204:ﾌﾗｲ･ﾑﾆｴﾙ,00410204:ﾌﾗｲ･ﾑﾆｴﾙ,00410204:ﾌﾗｲ･ﾑﾆｴﾙ,00410205:くじら,00410205:くじら,00410205:くじら,00410206:穴子,00410206:穴子,00410206:穴子,00410207:丸魚,00410207:丸魚,00410207:丸魚,00410208:季節の魚,00410208:季節の魚,00410208:季節の魚
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年16週(2025/07/14~2025/07/20),26,"¥2,676,327 ",105.6%,45,"¥736,150 ",79.5%,48,"¥564,750 ",84.8%,15,"¥324,444 ",79.1%,42,"¥108,910 ",127.3%,47,"¥250,447 ",101.8%,21,"¥534,745 ",90.4%,38,"¥225,183 ",117.5%
2025年17週(2025/07/21~2025/07/27),34,"¥2,522,705 ",100.5%,35,"¥880,684 ",79.8%,42,"¥607,790 ",105.7%,2,"¥382,111 ",100.6%,18,"¥216,519 ",241.6%,20,"¥439,390 ",248.7%,26,"¥522,709 ",103.4%,41,"¥202,185 ",99.3%
2025年18週(2025/07/28~2025/08/03),30,"¥2,635,905 ",98.6%,48,"¥711,675 ",72.3%,46,"¥574,859 ",104.2%,25,"¥285,432 ",88.3%,40,"¥118,151 ",146.8%,45,"¥267,473 ",64.8%,30,"¥492,504 ",84.8%,33,"¥268,080 ",139.1%
2025年19週(2025/08/04~2025/08/10),18,"¥2,843,067 ",95.7%,39,"¥806,221 ",72.8%,43,"¥596,753 ",103.8%,33,"¥222,190 ",78.1%,23,"¥187,135 ",210.3%,8,"¥643,849 ",188.9%,27,"¥505,824 ",74.4%,36,"¥244,277 ",113.3%
2025年20週(2025/08/11~2025/08/17),7,"¥3,012,515 ",102.1%,44,"¥741,258 ",70.7%,39,"¥636,945 ",87.1%,52,"¥119,279 ",75.3%,44,"¥104,759 ",106.2%,9,"¥588,720 ",109.5%,50,"¥330,945 ",58.4%,28,"¥368,936 ",181.5%
2025年21週(2025/08/18~2025/08/24),23,"¥2,696,094 ",82.9%,51,"¥577,795 ",69.4%,40,"¥631,576 ",91.0%,46,"¥189,030 ",79.2%,22,"¥191,683 ",223.7%,22,"¥428,541 ",103.2%,25,"¥526,448 ",86.4%,8,"¥2,192,113 ",193.4%
2025年22週(2025/08/25~2025/08/31),4,"¥3,061,988 ",85.3%,49,"¥665,524 ",81.5%,49,"¥556,725 ",93.4%,34,"¥221,107 ",96.7%,45,"¥100,450 ",133.9%,50,"¥223,321 ",60.5%,20,"¥535,346 ",112.1%,6,"¥2,449,745 ",203.5%
2025年23週(2025/09/01~2025/09/07),1,"¥3,240,768 ",106.7%,52,"¥523,703 ",61.7%,41,"¥610,264 ",94.1%,32,"¥228,403 ",83.4%,26,"¥179,810 ",203.0%,39,"¥343,895 ",85.6%,18,"¥559,046 ",87.1%,3,"¥2,900,473 ",204.6%
2025年24週(2025/09/08~2025/09/14),14,"¥2,868,043 ",92.4%,50,"¥588,310 ",60.7%,47,"¥569,994 ",74.9%,51,"¥164,853 ",63.7%,34,"¥129,337 ",99.0%,29,"¥386,285 ",179.7%,29,"¥498,698 ",97.3%,2,"¥2,928,673 ",262.8%
2025年25週(2025/09/15~2025/09/21),27,"¥2,664,734 ",95.4%,38,"¥828,661 ",63.7%,38,"¥654,660 ",87.0%,40,"¥204,975 ",77.1%,47,"¥91,303 ",47.5%,41,"¥329,234 ",111.5%,41,"¥395,291 ",81.8%,5,"¥2,666,778 ",309.4%
