販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,智頭店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒032:豚肉,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,003201:しゃぶしゃぶ,003201:しゃぶしゃぶ,003201:しゃぶしゃぶ,003202:ｽﾃｰｷ,003202:ｽﾃｰｷ,003202:ｽﾃｰｷ,003203:ｽﾗｲｽ,003203:ｽﾗｲｽ,003203:ｽﾗｲｽ,003204:しょうが焼用,003204:しょうが焼用,003204:しょうが焼用,003205:焼肉,003205:焼肉,003205:焼肉,003206:切り落し,003206:切り落し,003206:切り落し,003207:ﾌﾞﾛｯｸ,003207:ﾌﾞﾛｯｸ,003207:ﾌﾞﾛｯｸ,003208:豚肉原料,003208:豚肉原料,003208:豚肉原料
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年17週(2025/07/21~2025/07/27),37,"¥4,408,337",100.90%,4,"¥1,143,470",100.20%,43,"¥1,344,667",104.50%,1,"¥1,317,346",138.10%,46,"¥410,802",104.70%,31,"¥1,480,263",87.00%,13,"¥1,516,531",109.80%,25,"¥40,469",115.00%
2025年18週(2025/07/28~2025/08/03),38,"¥4,402,953",99.90%,37,"¥655,272",57.70%,36,"¥1,406,498",87.40%,22,"¥875,390",96.70%,30,"¥480,328",116.70%,12,"¥1,766,798",159.30%,41,"¥1,311,849",100.70%,6,"¥64,738",101.60%
2025年19週(2025/08/04~2025/08/10),47,"¥4,231,824",95.80%,10,"¥1,004,561",134.10%,19,"¥1,494,529",125.30%,39,"¥742,815",70.70%,24,"¥501,951",128.40%,21,"¥1,629,530",100.80%,12,"¥1,539,340",109.10%,38,"¥16,582",42.00%
2025年20週(2025/08/11~2025/08/17),27,"¥4,611,185",98.80%,31,"¥721,148",95.50%,9,"¥1,589,375",100.80%,48,"¥591,491",69.00%,1,"¥790,948",120.70%,50,"¥1,112,917",108.00%,18,"¥1,500,225",94.70%,5,"¥64,862",280.70%
2025年21週(2025/08/18~2025/08/24),39,"¥4,381,490",84.80%,21,"¥784,552",84.30%,38,"¥1,370,579",99.30%,16,"¥1,030,028",134.30%,2,"¥787,421",152.60%,9,"¥1,776,943",103.10%,43,"¥1,303,095",92.20%,44,"¥9,039",136.00%
2025年22週(2025/08/25~2025/08/31),31,"¥4,476,240",93.60%,6,"¥1,044,092",75.60%,12,"¥1,543,435",79.80%,25,"¥860,985",106.60%,25,"¥499,416",84.80%,36,"¥1,324,573",82.20%,14,"¥1,513,322",88.60%,17,"¥52,769",745.10%
2025年23週(2025/09/01~2025/09/07),42,"¥4,367,313",99.90%,25,"¥752,742",106.00%,42,"¥1,345,128",87.20%,9,"¥1,089,170",151.30%,9,"¥643,376",147.60%,11,"¥1,767,686",107.20%,46,"¥1,285,934",83.50%,30,"¥30,528",1785.30%
2025年24週(2025/09/08~2025/09/14),50,"¥4,108,424",104.00%,33,"¥704,374",84.60%,26,"¥1,446,709",83.90%,36,"¥749,446",110.80%,28,"¥486,626",66.20%,44,"¥1,193,679",94.10%,44,"¥1,302,566",96.40%,40,"¥15,441",369.70%
2025年25週(2025/09/15~2025/09/21),51,"¥4,039,425",88.10%,19,"¥838,608",128.20%,50,"¥1,110,019",89.50%,4,"¥1,131,888",100.50%,27,"¥488,255",91.60%,19,"¥1,650,077",154.70%,49,"¥1,210,451",84.90%,20,"¥51,188",917.80%
2025年26週(2025/09/22~2025/09/28),46,"¥4,268,012",89.40%,40,"¥652,381",88.70%,45,"¥1,297,331",76.30%,37,"¥748,836",100.80%,36,"¥455,962",101.70%,22,"¥1,627,586",98.80%,16,"¥1,505,701",92.40%,41,"¥11,671",109.70%
2025年27週(2025/09/29~2025/10/05),36,"¥4,432,476",98.70%,24,"¥773,018",99.10%,47,"¥1,257,762",80.90%,19,"¥924,003",105.70%,6,"¥700,098",112.40%,47,"¥1,135,398",101.00%,52,"¥1,147,440",92.00%,9,"¥61,335",503.60%
2025年28週(2025/10/06~2025/10/12),33,"¥4,465,951",99.90%,47,"¥595,065",92.10%,40,"¥1,348,642",107.00%,38,"¥744,336",64.90%,43,"¥433,503",107.60%,20,"¥1,646,140",101.70%,24,"¥1,442,160",90.30%,27,"¥33,896",640.20%
2025年29週(2025/10/13~2025/10/19),30,"¥4,519,271",90.90%,18,"¥878,517",72.50%,32,"¥1,414,167",82.90%,34,"¥770,679",95.70%,4,"¥723,219",135.90%,45,"¥1,172,704",105.20%,48,"¥1,240,730",92.00%,12,"¥56,485",1263.40%
2025年30週(2025/10/20~2025/10/26),14,"¥5,253,123",104.70%,49,"¥576,582",65.10%,41,"¥1,346,587",90.80%,18,"¥926,764",138.00%,33,"¥465,100",112.80%,8,"¥1,782,059",107.20%,21,"¥1,486,079",95.50%,43,"¥10,931",185.20%
2025年31週(2025/10/27~2025/11/02),4,"¥6,002,317",117.30%,35,"¥673,354",101.50%,51,"¥1,108,584",67.10%,46,"¥616,277",57.90%,22,"¥513,939",91.10%,33,"¥1,432,300",131.90%,50,"¥1,205,369",93.10%,24,"¥40,884",724.50%
2025年32週(2025/11/03~2025/11/09),17,"¥5,141,929",96.20%,7,"¥1,026,609",84.40%,4,"¥1,758,050",104.60%,43,"¥671,574",77.20%,47,"¥393,087",108.10%,14,"¥1,734,249",147.50%,39,"¥1,330,239",102.80%,31,"¥27,213",1243.70%
2025年33週(2025/11/10~2025/11/16),20,"¥5,062,044",100.80%,39,"¥653,498",94.90%,37,"¥1,398,259",81.70%,17,"¥957,495",122.00%,16,"¥563,961",151.40%,10,"¥1,772,183",107.40%,35,"¥1,377,155",80.60%,4,"¥66,919",107.90%
2025年34週(2025/11/17~2025/11/23),10,"¥5,704,606",92.40%,23,"¥779,639",90.50%,24,"¥1,461,297",113.10%,24,"¥866,641",88.60%,35,"¥456,661",130.20%,51,"¥1,106,197",110.50%,42,"¥1,307,352",89.70%,48,"¥5,522",16.60%
2025年35週(2025/11/24~2025/11/30),8,"¥5,806,329",106.00%,46,"¥595,828",93.20%,15,"¥1,515,854",80.70%,7,"¥1,119,086",148.80%,17,"¥549,362",131.00%,16,"¥1,723,769",108.10%,17,"¥1,502,680",93.90%,2,"¥86,528",106.00%
2025年36週(2025/12/01~2025/12/07),3,"¥6,052,093",104.20%,45,"¥619,479",56.70%,7,"¥1,634,680",92.90%,23,"¥869,468",110.40%,31,"¥480,120",122.10%,32,"¥1,445,331",110.30%,4,"¥1,717,491",102.60%,34,"¥21,630",88.80%
2025年37週(2025/12/08~2025/12/14),18,"¥5,123,097",101.90%,15,"¥889,278",121.20%,35,"¥1,408,452",72.80%,26,"¥860,609",172.20%,14,"¥584,067",155.50%,23,"¥1,598,281",100.30%,51,"¥1,164,154",85.00%,50,"¥3,137",162.10%
2025年38週(2025/12/15~2025/12/21),21,"¥4,855,078",90.90%,51,"¥564,762",91.50%,10,"¥1,584,421",119.40%,51,"¥531,387",100.70%,26,"¥496,197",144.90%,1,"¥1,971,748",110.70%,19,"¥1,494,963",96.60%,8,"¥62,734",109.50%
2025年39週(2025/12/22~2025/12/28),6,"¥5,867,864",95.60%,16,"¥889,026",101.00%,20,"¥1,488,426",82.80%,50,"¥535,548",95.40%,38,"¥452,627",107.40%,40,"¥1,224,195",97.90%,1,"¥2,308,156",88.30%,22,"¥42,976",1522.90%
2025年40週(2025/12/29~2026/01/04),1,"¥6,650,994",106.40%,52,"¥537,960",100.40%,8,"¥1,618,593",131.40%,52,"¥409,758",106.80%,52,"¥274,652",69.20%,52,"¥917,384",109.30%,2,"¥2,301,672",133.30%,26,"¥34,704",47.40%
2025年41週(2026/01/05~2026/01/11),7,"¥5,828,308",103.70%,48,"¥591,118",65.70%,34,"¥1,412,184",106.00%,20,"¥900,123",165.30%,29,"¥482,895",149.90%,2,"¥1,865,233",140.30%,37,"¥1,344,571",93.50%,23,"¥42,340",93.50%
2025年42週(2026/01/12~2026/01/18),5,"¥5,934,022",118.90%,17,"¥882,889",143.80%,6,"¥1,700,509",89.20%,35,"¥769,967",137.50%,42,"¥443,052",141.20%,7,"¥1,790,962",108.10%,29,"¥1,408,684",88.30%,7,"¥63,501",105.40%
2025年43週(2026/01/19~2026/01/25),2,"¥6,263,036",115.20%,50,"¥566,258",58.60%,3,"¥1,769,042",99.50%,8,"¥1,089,624",143.10%,41,"¥443,113",123.70%,41,"¥1,214,868",106.20%,33,"¥1,383,668",84.20%,45,"¥9,012",17.90%
2025年44週(2026/01/26~2026/02/01),13,"¥5,347,618",109.80%,27,"¥735,236",86.40%,2,"¥1,842,911",109.50%,27,"¥853,893",85.20%,19,"¥534,908",170.80%,4,"¥1,860,847",85.10%,38,"¥1,336,389",95.70%,1,"¥103,376",161.30%
2025年45週(2026/02/02~2026/02/08),11,"¥5,533,729",94.00%,9,"¥1,015,388",155.90%,21,"¥1,476,128",97.50%,49,"¥552,226",96.50%,44,"¥424,332",139.10%,3,"¥1,864,401",107.40%,15,"¥1,509,069",105.20%,36,"¥17,938",119.10%
2025年46週(2026/02/09~2026/02/15),9,"¥5,721,146",109.20%,42,"¥641,677",56.90%,29,"¥1,433,407",108.80%,21,"¥885,190",85.50%,21,"¥529,096",135.00%,43,"¥1,210,665",72.00%,31,"¥1,397,853",97.60%,49,"¥3,915",7.10%
2025年47週(2026/02/16~2026/02/22),15,"¥5,236,522",98.90%,13,"¥942,651",140.90%,33,"¥1,414,150",72.70%,41,"¥697,933",122.60%,39,"¥445,847",127.90%,17,"¥1,721,171",134.30%,28,"¥1,411,570",85.80%,13,"¥56,100",114.20%
2025年48週(2026/02/23~2026/03/01),12,"¥5,370,808",112.60%,44,"¥637,314",99.00%,49,"¥1,145,604",74.10%,13,"¥1,033,055",104.60%,7,"¥664,338",146.10%,38,"¥1,250,700",77.70%,34,"¥1,377,265",94.50%,46,"¥7,440",11.10%
2025年49週(2026/03/02~2026/03/08),23,"¥4,664,696",99.80%,5,"¥1,052,997",161.20%,14,"¥1,517,197",123.90%,32,"¥774,016",105.30%,23,"¥503,993",82.20%,5,"¥1,844,714",100.60%,22,"¥1,449,273",100.10%,3,"¥83,263",3125.50%
2025年50週(2026/03/09~2026/03/15),16,"¥5,221,200",112.00%,12,"¥960,978",94.20%,27,"¥1,440,877",103.60%,11,"¥1,044,782",171.00%,40,"¥443,152",114.30%,35,"¥1,336,478",99.10%,32,"¥1,387,283",92.60%,32,"¥23,252",52.40%
2025年51週(2026/03/16~2026/03/22),22,"¥4,834,544",94.80%,38,"¥654,233",82.60%,13,"¥1,543,098",140.60%,42,"¥691,444",73.70%,15,"¥580,286",175.70%,25,"¥1,585,875",146.50%,30,"¥1,405,151",99.20%,11,"¥57,359",396.90%
2025年52週(2026/03/23~2026/03/29),19,"¥5,101,124",120.70%,43,"¥640,756",93.10%,48,"¥1,248,330",83.30%,15,"¥1,030,461",127.50%,8,"¥652,748",108.40%,42,"¥1,210,727",80.40%,20,"¥1,491,181",100.50%,52,"¥2,530",2.90%
