,001201:ｵﾚﾝｼﾞ,001201:ｵﾚﾝｼﾞ,001201:ｵﾚﾝｼﾞ,001202:ｸﾞﾚｰﾌﾟﾌﾙｰﾂ,001202:ｸﾞﾚｰﾌﾟﾌﾙｰﾂ,001202:ｸﾞﾚｰﾌﾟﾌﾙｰﾂ,001203:ﾗｲﾑ･ﾚﾓﾝ,001203:ﾗｲﾑ･ﾚﾓﾝ,001203:ﾗｲﾑ･ﾚﾓﾝ,001204:みかん,001204:みかん,001204:みかん,001205:国産柑橘,001205:国産柑橘,001205:国産柑橘,001206:いちご,001206:いちご,001206:いちご,001207:ﾄﾛﾋﾟｶﾙ,001207:ﾄﾛﾋﾟｶﾙ,001207:ﾄﾛﾋﾟｶﾙ,001208:もも,001208:もも,001208:もも,001209:すいか,001209:すいか,001209:すいか,001210:ﾒﾛﾝ,001210:ﾒﾛﾝ,001210:ﾒﾛﾝ,001211:ぶどう,001211:ぶどう,001211:ぶどう,001212:和梨,001212:和梨,001212:和梨,001213:西洋梨,001213:西洋梨,001213:西洋梨,001214:柿,001214:柿,001214:柿,001215:干し柿,001215:干し柿,001215:干し柿,001216:りんご,001216:りんご,001216:りんご,001217:季節果物,001217:季節果物,001217:季節果物,001218:ｶｯﾄﾌﾙｰﾂ,001218:ｶｯﾄﾌﾙｰﾂ,001218:ｶｯﾄﾌﾙｰﾂ,001219:ｼﾞｭｰｽ,001219:ｼﾞｭｰｽ,001219:ｼﾞｭｰｽ,001220:ﾄﾞﾗｲﾌﾙｰﾂ,001220:ﾄﾞﾗｲﾌﾙｰﾂ,001220:ﾄﾞﾗｲﾌﾙｰﾂ,001221:混合品,001221:混合品,001221:混合品,001222:果物,001222:果物,001222:果物,001250:果物資材,001250:果物資材,001250:果物資材,001299:代表ｺｰﾄﾞ,001299:代表ｺｰﾄﾞ,001299:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年10週(2025/06/02~2025/06/08),8,"¥619,593",116.80%,31,"¥106,496",222.80%,19,"¥371,175",93.60%,42,"¥934,420",101.20%,20,"¥2,806,791",96.40%,27,"¥2,465,973",125.60%,4,"¥11,234,417",103.80%,16,"¥1,609,933",59.70%,16,"¥169,314",61.10%,7,"¥1,294,817",79.00%,33,"¥1,526,158",101.90%,41,¥0,0.00%,34,¥0,0.00%,41,"¥2,020",92.00%,44,"¥44,516",65.60%,34,"¥2,832,802",119.70%,20,"¥760,542",136.90%,13,"¥6,537,249",96.20%,12,"¥21,740",41.80%,20,"¥1,102,060",129.00%,11,¥0,0.00%,4,"¥56,940",100.20%,33,"¥20,100",61.50%,32,"¥9,842",57.90%
2025年11週(2025/06/09~2025/06/15),3,"¥703,980",130.70%,30,"¥108,112",96.30%,14,"¥391,233",92.70%,41,"¥1,276,874",109.70%,22,"¥1,997,821",95.00%,30,"¥723,441",81.70%,1,"¥11,968,993",113.10%,14,"¥2,887,095",56.20%,7,"¥230,578",85.50%,2,"¥1,488,252",84.90%,30,"¥2,007,056",91.40%,42,¥0,0.00%,35,¥0,0.00%,43,¥0,0.00%,28,"¥80,032",126.80%,36,"¥2,732,783",124.00%,16,"¥908,556",134.10%,11,"¥7,455,990",78.10%,27,"¥14,160",21.20%,23,"¥1,080,656",132.30%,1,"¥5,389",0.00%,5,"¥55,527",125.50%,27,"¥25,360",98.60%,26,"¥16,616",150.40%
2025年12週(2025/06/16~2025/06/22),2,"¥719,194",154.10%,11,"¥151,331",121.40%,9,"¥419,728",98.90%,40,"¥1,578,434",110.60%,26,"¥991,724",77.10%,31,"¥302,838",102.50%,3,"¥11,236,733",112.00%,11,"¥4,551,384",95.00%,3,"¥279,918",140.20%,1,"¥1,535,120",104.00%,26,"¥2,336,687",96.20%,43,¥0,0.00%,36,¥0,0.00%,44,¥0,0.00%,34,"¥59,757",98.50%,39,"¥2,345,786",108.90%,17,"¥857,618",150.30%,6,"¥9,281,301",112.20%,6,"¥27,726",48.10%,34,"¥1,018,422",141.60%,12,¥0,0.00%,12,"¥50,659",140.00%,28,"¥23,690",81.30%,23,"¥19,322",19.80%
2025年13週(2025/06/23~2025/06/29),5,"¥643,785",157.00%,20,"¥134,712",102.20%,6,"¥447,546",105.80%,35,"¥1,722,639",119.80%,29,"¥447,809",41.30%,32,"¥266,709",104.30%,8,"¥10,627,495",108.60%,8,"¥6,070,291",107.70%,11,"¥195,792",80.70%,6,"¥1,304,819",85.30%,27,"¥2,285,950",83.70%,44,¥0,0.00%,37,¥0,0.00%,45,¥0,0.00%,39,"¥49,835",66.30%,41,"¥2,161,545",105.10%,18,"¥856,761",237.80%,8,"¥8,888,875",106.90%,11,"¥22,866",35.30%,38,"¥989,538",136.70%,13,¥0,0.00%,14,"¥49,349",146.40%,30,"¥21,500",77.50%,1,"¥95,691",480.40%
2025年14週(2025/06/30~2025/07/06),7,"¥623,675",155.70%,19,"¥135,356",92.90%,2,"¥473,364",111.00%,36,"¥1,703,358",116.90%,31,"¥395,994",49.50%,33,"¥211,387",78.50%,9,"¥10,271,942",113.20%,6,"¥7,191,202",84.80%,6,"¥230,582",125.80%,5,"¥1,329,252",102.50%,25,"¥2,372,720",72.20%,45,¥0,0.00%,38,¥0,0.00%,46,¥0,0.00%,51,"¥35,033",66.30%,42,"¥2,086,608",111.50%,23,"¥577,510",376.80%,1,"¥10,333,243",108.80%,5,"¥31,160",54.40%,40,"¥956,686",156.80%,14,¥0,0.00%,3,"¥57,893",127.10%,32,"¥20,780",59.60%,27,"¥13,668",24.40%
2025年15週(2025/07/07~2025/07/13),9,"¥598,246",143.00%,24,"¥132,167",98.70%,1,"¥502,215",110.10%,37,"¥1,690,816",116.20%,33,"¥341,026",54.10%,34,"¥173,002",84.10%,11,"¥9,900,418",110.80%,3,"¥8,020,950",97.00%,4,"¥271,606",171.10%,9,"¥1,203,150",86.50%,22,"¥3,060,813",67.10%,46,¥0,0.00%,39,¥0,0.00%,42,¥280,0.00%,43,"¥44,925",141.00%,44,"¥1,982,284",108.80%,29,"¥357,577",273.80%,2,"¥10,245,551",119.40%,15,"¥20,380",37.70%,45,"¥839,235",123.80%,15,¥0,0.00%,16,"¥48,409",131.30%,26,"¥30,510",80.10%,22,"¥20,173",78.20%
2025年16週(2025/07/14~2025/07/20),11,"¥568,028",146.90%,14,"¥144,507",71.60%,8,"¥431,877",99.50%,38,"¥1,686,368",105.90%,32,"¥346,704",103.60%,35,"¥129,374",65.70%,12,"¥9,469,572",105.30%,2,"¥8,110,090",89.20%,9,"¥222,467",121.10%,11,"¥1,144,159",84.30%,19,"¥4,729,254",85.90%,47,¥0,0.00%,40,¥0,0.00%,47,¥0,0.00%,41,"¥49,117",129.70%,46,"¥1,927,242",106.60%,25,"¥490,114",269.60%,5,"¥9,423,405",101.60%,18,"¥19,200",34.20%,44,"¥845,924",123.00%,16,¥0,0.00%,18,"¥47,013",131.40%,11,"¥38,280",86.20%,28,"¥13,551",42.40%
2025年17週(2025/07/21~2025/07/27),14,"¥549,761",142.70%,5,"¥183,525",82.20%,4,"¥457,863",101.90%,32,"¥1,839,454",103.60%,30,"¥399,935",105.40%,37,"¥88,012",65.80%,14,"¥9,177,508",105.40%,4,"¥7,883,956",104.20%,8,"¥227,845",99.10%,10,"¥1,202,078",89.50%,17,"¥5,966,873",98.80%,29,"¥30,246",0.00%,41,¥0,0.00%,48,¥0,0.00%,45,"¥44,401",127.00%,47,"¥1,897,273",113.90%,19,"¥781,453",101.80%,4,"¥9,898,002",98.70%,9,"¥24,360",45.00%,48,"¥794,918",121.30%,17,¥0,0.00%,10,"¥53,138",140.70%,18,"¥33,940",82.50%,2,"¥84,673",120.30%
2025年18週(2025/07/28~2025/08/03),20,"¥505,581",113.60%,1,"¥246,035",107.30%,7,"¥445,318",97.40%,28,"¥2,078,707",98.10%,35,"¥235,449",60.20%,38,"¥24,576",30.30%,16,"¥8,479,681",100.70%,7,"¥6,927,352",100.50%,5,"¥239,612",106.00%,8,"¥1,244,114",77.80%,14,"¥7,028,034",97.60%,20,"¥425,288",74.80%,42,¥0,0.00%,49,¥0,0.00%,38,"¥50,026",114.80%,50,"¥1,838,949",102.70%,14,"¥1,046,437",122.50%,3,"¥9,945,121",101.10%,14,"¥20,780",27.00%,51,"¥767,053",133.80%,18,¥0,0.00%,17,"¥48,082",114.10%,6,"¥52,110",92.20%,33,"¥8,462",20.00%
2025年19週(2025/08/04~2025/08/10),19,"¥508,594",108.70%,2,"¥227,525",115.50%,5,"¥455,716",91.50%,30,"¥2,037,923",80.50%,38,"¥59,904",18.90%,41,¥699,1.40%,18,"¥8,111,561",95.50%,5,"¥7,809,353",97.70%,2,"¥350,103",89.90%,3,"¥1,476,476",75.80%,11,"¥10,277,010",75.70%,14,"¥1,230,795",64.10%,43,¥0,0.00%,50,¥0,0.00%,47,"¥40,697",78.10%,45,"¥1,950,403",100.70%,2,"¥3,555,826",100.30%,9,"¥8,831,556",93.30%,4,"¥32,140",51.30%,43,"¥853,002",142.90%,19,¥0,0.00%,9,"¥53,343",128.30%,4,"¥61,670",58.10%,7,"¥68,662",138.60%
