販売管理表(部門別５２週推移),,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,
商品条件：04:鮮魚⇒041:鮮魚,,,,,,,,,,,,
,,,,,,,,,,,,
,004101:刺身,004101:刺身,004101:刺身,004102:切身･丸物,004102:切身･丸物,004102:切身･丸物,004103:甲殻類,004103:甲殻類,004103:甲殻類,004199:代表ｺｰﾄﾞ,004199:代表ｺｰﾄﾞ,004199:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年33週(2025/11/10~2025/11/16),46,"¥13,732,930",97.70%,24,"¥8,252,217",96.00%,3,"¥8,262,329",97.40%,25,¥729,9.20%
2025年34週(2025/11/17~2025/11/23),47,"¥13,596,538",99.30%,18,"¥8,671,092",96.20%,6,"¥7,471,438",101.10%,48,"¥-5,193",-15.30%
2025年35週(2025/11/24~2025/11/30),48,"¥13,578,453",101.80%,16,"¥8,917,307",94.00%,7,"¥7,251,441",103.70%,44,"¥-2,062",50.40%
2025年36週(2025/12/01~2025/12/07),37,"¥14,582,434",96.90%,8,"¥10,002,299",95.40%,4,"¥8,163,803",92.70%,20,"¥1,375",12.00%
2025年37週(2025/12/08~2025/12/14),49,"¥13,537,418",103.10%,14,"¥9,121,924",93.20%,11,"¥6,683,602",79.50%,8,"¥5,274",-162.70%
2025年38週(2025/12/15~2025/12/21),45,"¥13,812,859",99.30%,12,"¥9,239,110",94.10%,8,"¥7,049,436",70.50%,4,"¥10,236",-68.60%
2025年39週(2025/12/22~2025/12/28),3,"¥19,675,082",98.40%,2,"¥14,076,353",88.30%,2,"¥14,758,217",78.80%,35,¥-649,-5.10%
2025年40週(2025/12/29~2026/01/04),1,"¥36,647,506",108.40%,1,"¥31,226,790",115.40%,1,"¥18,547,463",108.40%,1,"¥35,850",-762.80%
2025年41週(2026/01/05~2026/01/11),44,"¥13,942,751",105.00%,9,"¥9,847,497",103.50%,13,"¥6,603,127",86.60%,23,¥774,18.70%
2025年42週(2026/01/12~2026/01/18),39,"¥14,181,818",102.90%,6,"¥10,343,282",104.80%,16,"¥6,208,574",86.20%,36,¥-745,-93.20%
2025年43週(2026/01/19~2026/01/25),52,"¥13,288,689",95.50%,3,"¥10,945,461",108.40%,9,"¥6,922,938",87.00%,41,"¥-1,095",-46.80%
2025年44週(2026/01/26~2026/02/01),51,"¥13,363,665",91.40%,5,"¥10,363,463",107.40%,15,"¥6,288,568",89.20%,32,¥-263,12.10%
2025年45週(2026/02/02~2026/02/08),36,"¥14,761,351",119.40%,4,"¥10,434,134",109.70%,17,"¥5,999,815",80.40%,29,¥0,0.00%
2025年46週(2026/02/09~2026/02/15),43,"¥14,019,390",101.00%,7,"¥10,006,860",112.50%,10,"¥6,724,343",93.10%,11,"¥4,248",327.50%
2025年47週(2026/02/16~2026/02/22),42,"¥14,074,939",102.70%,10,"¥9,330,467",98.00%,12,"¥6,677,370",86.20%,16,"¥2,539",-241.60%
2025年48週(2026/02/23~2026/03/01),34,"¥15,173,832",101.40%,11,"¥9,252,525",99.30%,14,"¥6,302,168",78.50%,12,"¥3,987",-91.20%
2025年49週(2026/03/02~2026/03/08),31,"¥15,441,569",102.60%,15,"¥8,936,895",99.30%,5,"¥7,772,047",92.50%,6,"¥5,907",803.70%
2025年50週(2026/03/09~2026/03/15),40,"¥14,119,924",101.90%,30,"¥7,777,393",69.10%,19,"¥5,763,331",87.70%,24,¥759,-28.40%
2025年51週(2026/03/16~2026/03/22),33,"¥15,190,581",101.60%,27,"¥7,969,645",111.00%,25,"¥5,116,121",75.40%,9,"¥4,729",-250.10%
2025年52週(2026/03/23~2026/03/29),35,"¥14,835,098",101.00%,32,"¥7,264,284",109.80%,34,"¥4,855,851",80.00%,33,¥-521,-224.60%
