販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒042:塩乾物,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,004201:鮭類,004201:鮭類,004201:鮭類,004202:魚類干し物,004202:魚類干し物,004202:魚類干し物,004203:冷凍塩干,004203:冷凍塩干,004203:冷凍塩干,004204:魚類漬け物,004204:魚類漬け物,004204:魚類漬け物,004205:加熱加工品,004205:加熱加工品,004205:加熱加工品,004299:代表ｺｰﾄﾞ,004299:代表ｺｰﾄﾞ,004299:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年21週(2025/08/18~2025/08/24),47,"¥2,183,470 ",94.8%,5,"¥3,644,109 ",97.0%,7,"¥284,730 ",73.6%,22,"¥3,712,578 ",109.5%,27,"¥2,130,904 ",92.6%,38,(¥300),12.7%
2025年22週(2025/08/25~2025/08/31),17,"¥2,894,111 ",102.4%,7,"¥3,507,644 ",99.6%,17,"¥243,308 ",77.3%,27,"¥3,614,031 ",104.5%,29,"¥2,118,078 ",94.0%,1,"¥3,321 ",-143.3%
2025年23週(2025/09/01~2025/09/07),51,"¥2,060,199 ",101.2%,6,"¥3,599,830 ",100.4%,24,"¥214,685 ",51.2%,42,"¥3,401,264 ",105.8%,31,"¥2,094,409 ",100.2%,20,¥0 ,0.0%
2025年24週(2025/09/08~2025/09/14),46,"¥2,196,674 ",82.5%,22,"¥3,215,681 ",103.1%,20,"¥231,916 ",100.2%,26,"¥3,624,225 ",121.4%,33,"¥1,975,193 ",94.6%,21,¥0 ,0.0%
2025年25週(2025/09/15~2025/09/21),15,"¥2,953,377 ",119.8%,14,"¥3,318,392 ",101.6%,6,"¥312,691 ",97.6%,50,"¥3,164,026 ",96.7%,38,"¥1,887,993 ",95.0%,12,¥590 ,27.3%
2025年26週(2025/09/22~2025/09/28),7,"¥3,188,836 ",129.1%,35,"¥3,045,497 ",87.7%,25,"¥200,636 ",79.7%,29,"¥3,570,352 ",94.4%,34,"¥1,961,804 ",89.9%,34,(¥197),-13.2%
2025年27週(2025/09/29~2025/10/05),28,"¥2,741,777 ",114.0%,31,"¥3,083,802 ",97.9%,29,"¥176,245 ",76.5%,35,"¥3,466,516 ",98.4%,37,"¥1,891,576 ",92.1%,11,¥599 ,85.7%
2025年28週(2025/10/06~2025/10/12),38,"¥2,417,566 ",102.3%,33,"¥3,055,258 ",92.2%,12,"¥263,839 ",96.6%,19,"¥3,799,500 ",115.4%,35,"¥1,951,626 ",96.5%,45,(¥559),54.1%
2025年29週(2025/10/13~2025/10/19),6,"¥3,191,148 ",123.8%,12,"¥3,339,325 ",109.7%,32,"¥167,257 ",68.8%,28,"¥3,603,709 ",117.4%,45,"¥1,777,887 ",92.1%,22,¥0 ,0.0%
2025年30週(2025/10/20~2025/10/26),35,"¥2,540,824 ",122.0%,17,"¥3,258,758 ",103.9%,16,"¥244,388 ",93.2%,45,"¥3,285,660 ",97.6%,39,"¥1,867,891 ",98.3%,30,(¥100),-11.4%
2025年31週(2025/10/27~2025/11/02),4,"¥3,255,969 ",121.4%,48,"¥2,791,924 ",99.1%,37,"¥143,346 ",69.7%,33,"¥3,513,729 ",111.5%,49,"¥1,734,718 ",97.7%,32,(¥175),-27.1%
2025年32週(2025/11/03~2025/11/09),23,"¥2,829,472 ",113.3%,25,"¥3,170,633 ",100.6%,15,"¥246,862 ",150.2%,30,"¥3,559,180 ",98.4%,41,"¥1,845,476 ",98.3%,23,¥0 ,0.0%
2025年33週(2025/11/10~2025/11/16),19,"¥2,893,142 ",138.5%,44,"¥2,868,738 ",100.1%,35,"¥145,121 ",54.3%,18,"¥3,816,124 ",109.0%,42,"¥1,845,466 ",103.5%,46,(¥641),-18.4%
2025年34週(2025/11/17~2025/11/23),25,"¥2,759,668 ",117.8%,30,"¥3,102,193 ",111.5%,38,"¥142,620 ",88.6%,47,"¥3,258,530 ",104.8%,48,"¥1,751,741 ",104.2%,17,¥239 ,53.2%
2025年35週(2025/11/24~2025/11/30),8,"¥3,176,063 ",140.9%,32,"¥3,063,919 ",106.8%,40,"¥111,359 ",86.8%,23,"¥3,652,976 ",110.1%,51,"¥1,718,386 ",98.0%,24,¥0 ,0.0%
2025年36週(2025/12/01~2025/12/07),1,"¥3,286,791 ",123.3%,13,"¥3,335,458 ",117.8%,45,"¥63,058 ",28.2%,3,"¥5,461,925 ",101.4%,36,"¥1,910,597 ",97.8%,49,(¥869),62.1%
2025年37週(2025/12/08~2025/12/14),41,"¥2,335,746 ",120.0%,21,"¥3,217,646 ",114.3%,50,"¥30,719 ",28.2%,7,"¥4,197,129 ",105.4%,52,"¥1,692,622 ",101.7%,39,(¥300),37.3%
2025年38週(2025/12/15~2025/12/21),5,"¥3,232,548 ",131.6%,50,"¥2,692,322 ",103.1%,48,"¥46,936 ",49.2%,4,"¥4,956,324 ",92.6%,40,"¥1,860,501 ",94.6%,40,(¥300),25.2%
2025年39週(2025/12/22~2025/12/28),9,"¥3,103,311 ",116.8%,2,"¥3,775,509 ",98.3%,51,"¥20,371 ",84.5%,2,"¥11,458,793 ",75.9%,18,"¥2,473,660 ",96.4%,6,"¥1,080 ",0.0%
2025年40週(2025/12/29~2026/01/04),40,"¥2,417,202 ",126.8%,52,"¥2,293,396 ",132.6%,52,"¥19,556 ",118.5%,1,"¥13,546,488 ",123.9%,43,"¥1,794,977 ",120.0%,18,¥199 ,-33.2%
2025年41週(2026/01/05~2026/01/11),2,"¥3,283,187 ",127.0%,28,"¥3,136,812 ",104.2%,46,"¥49,090 ",188.7%,16,"¥3,845,390 ",116.2%,50,"¥1,723,664 ",110.1%,25,¥0 ,0.0%
2025年42週(2026/01/12~2026/01/18),24,"¥2,778,354 ",131.3%,43,"¥2,890,101 ",98.8%,42,"¥85,796 ",29.8%,6,"¥4,330,839 ",119.2%,47,"¥1,762,942 ",104.9%,41,(¥320),160.0%
