販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒041:鮮魚⇒004101:刺身,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,00410101:白身,00410101:白身,00410101:白身,00410102:赤身,00410102:赤身,00410102:赤身,00410103:青身,00410103:青身,00410103:青身,00410104:貝類,00410104:貝類,00410104:貝類,00410105:いか･たこ,00410105:いか･たこ,00410105:いか･たこ,00410106:盛合せ,00410106:盛合せ,00410106:盛合せ,00410107:季節商品,00410107:季節商品,00410107:季節商品,00410108:刺身加工品,00410108:刺身加工品,00410108:刺身加工品,00410110:ｽﾓｰｸ,00410110:ｽﾓｰｸ,00410110:ｽﾓｰｸ,00410111:調味料,00410111:調味料,00410111:調味料
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年14週(2025/06/30~2025/07/06),16,"¥1,076,236",110.40%,29,"¥3,500,021",97.60%,8,"¥705,745",142.40%,32,"¥500,823",81.00%,4,"¥1,901,024",99.30%,38,"¥3,082,717",83.60%,14,"¥1,547,299",87.40%,21,"¥3,665,245",92.50%,41,"¥246,812",109.80%,11,"¥134,795",94.00%
2025年15週(2025/07/07~2025/07/13),14,"¥1,110,175",118.10%,32,"¥3,444,547",97.60%,34,"¥565,414",113.70%,29,"¥529,011",87.20%,7,"¥1,739,675",101.90%,27,"¥3,268,740",96.70%,6,"¥1,736,574",90.00%,10,"¥4,044,396",100.50%,51,"¥212,490",73.90%,8,"¥137,453",111.20%
2025年16週(2025/07/14~2025/07/20),38,"¥899,481",97.80%,36,"¥3,385,302",91.50%,28,"¥579,504",126.30%,30,"¥519,382",77.10%,8,"¥1,706,509",97.80%,48,"¥2,919,850",83.90%,11,"¥1,601,359",89.80%,16,"¥3,850,800",93.30%,27,"¥315,735",133.30%,13,"¥132,834",106.10%
2025年17週(2025/07/21~2025/07/27),20,"¥1,046,315",127.10%,50,"¥3,120,168",90.80%,31,"¥572,560",122.00%,33,"¥498,743",70.80%,5,"¥1,843,586",107.10%,33,"¥3,211,628",100.00%,2,"¥2,002,284",121.90%,5,"¥4,410,994",126.90%,34,"¥271,332",84.80%,4,"¥141,752",134.40%
2025年18週(2025/07/28~2025/08/03),21,"¥1,045,467",118.80%,22,"¥3,632,447",107.70%,35,"¥565,282",111.00%,41,"¥444,277",60.80%,6,"¥1,770,952",111.10%,20,"¥3,475,927",103.50%,7,"¥1,709,782",99.10%,11,"¥4,003,859",106.10%,35,"¥258,388",68.50%,12,"¥132,993",110.40%
2025年19週(2025/08/04~2025/08/10),19,"¥1,051,901",98.00%,14,"¥3,828,213",93.60%,36,"¥557,131",118.00%,28,"¥534,126",62.10%,2,"¥1,933,314",116.00%,8,"¥4,385,829",90.30%,4,"¥1,819,877",105.50%,9,"¥4,141,028",106.80%,11,"¥359,012",107.30%,1,"¥153,516",116.90%
2025年20週(2025/08/11~2025/08/17),41,"¥885,318",81.50%,2,"¥4,581,205",107.50%,41,"¥539,749",114.50%,2,"¥876,815",80.70%,1,"¥2,187,641",111.90%,2,"¥6,342,041",103.90%,3,"¥1,852,303",100.20%,2,"¥4,559,402",103.40%,8,"¥375,585",95.80%,3,"¥144,564",100.60%
2025年21週(2025/08/18~2025/08/24),28,"¥983,825",101.50%,30,"¥3,496,543",94.20%,47,"¥518,992",122.20%,43,"¥423,087",55.80%,3,"¥1,910,173",106.10%,37,"¥3,093,898",91.80%,8,"¥1,683,094",106.50%,7,"¥4,275,125",107.20%,28,"¥301,289",96.50%,15,"¥131,153",90.70%
2025年22週(2025/08/25~2025/08/31),23,"¥1,024,955",142.00%,34,"¥3,400,157",99.50%,33,"¥570,171",171.10%,25,"¥541,312",68.60%,10,"¥1,652,019",98.30%,39,"¥3,081,356",105.50%,10,"¥1,676,915",128.40%,3,"¥4,554,942",112.40%,7,"¥386,979",89.10%,7,"¥137,809",99.30%
2025年23週(2025/09/01~2025/09/07),34,"¥931,183",107.80%,46,"¥3,190,695",92.00%,48,"¥517,152",105.80%,27,"¥535,334",79.30%,15,"¥1,506,209",100.50%,51,"¥2,713,114",90.00%,21,"¥1,161,378",84.70%,1,"¥4,697,555",114.70%,4,"¥425,413",119.80%,17,"¥130,326",91.60%
