販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：04:鮮魚⇒041:鮮魚⇒004103:甲殻類,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,00410301:貝類,00410301:貝類,00410301:貝類,00410302:海老類,00410302:海老類,00410302:海老類,00410303:いか･たこ,00410303:いか･たこ,00410303:いか･たこ,00410304:かに類,00410304:かに類,00410304:かに類,00410305:海藻類,00410305:海藻類,00410305:海藻類,00410306:冷凍かに,00410306:冷凍かに,00410306:冷凍かに,00410307:冷凍えび,00410307:冷凍えび,00410307:冷凍えび,00410308:冷凍品,00410308:冷凍品,00410308:冷凍品,00410309:調味料,00410309:調味料,00410309:調味料
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年14週(2025/06/30~2025/07/06),45,"¥1,058,324 ",72.3%,11,"¥1,438,066 ",136.0%,2,"¥1,810,817 ",107.1%,33,"¥340,806 ",88.9%,24,"¥130,551 ",85.5%,38,¥0 ,0.0%,42,"¥11,343 ",37.2%,23,"¥249,887 ",93.9%,47,"¥19,984 ",89.0%
2025年15週(2025/07/07~2025/07/13),42,"¥1,111,548 ",99.0%,27,"¥1,272,973 ",80.9%,14,"¥1,507,603 ",90.0%,42,"¥252,880 ",78.7%,18,"¥150,802 ",97.9%,39,¥0 ,0.0%,38,"¥13,006 ",31.9%,9,"¥267,346 ",107.0%,44,"¥20,489 ",82.1%
2025年16週(2025/07/14~2025/07/20),21,"¥1,964,150 ",132.9%,43,"¥1,139,964 ",75.5%,19,"¥1,411,652 ",78.4%,48,"¥179,900 ",55.8%,25,"¥125,585 ",80.4%,40,¥0 ,0.0%,46,"¥10,876 ",19.0%,39,"¥231,888 ",91.4%,15,"¥28,219 ",99.7%
2025年17週(2025/07/21~2025/07/27),44,"¥1,087,090 ",56.1%,19,"¥1,332,883 ",103.5%,1,"¥1,816,142 ",120.1%,46,"¥201,313 ",75.2%,34,"¥89,272 ",55.9%,41,¥0 ,0.0%,27,"¥17,488 ",35.4%,30,"¥238,540 ",95.9%,36,"¥21,988 ",148.6%
2025年18週(2025/07/28~2025/08/03),43,"¥1,107,088 ",94.0%,17,"¥1,396,013 ",101.6%,7,"¥1,672,944 ",99.5%,50,"¥139,658 ",49.9%,33,"¥90,245 ",60.6%,42,¥0 ,0.0%,40,"¥12,178 ",19.2%,22,"¥251,450 ",106.5%,32,"¥22,554 ",85.7%
2025年19週(2025/08/04~2025/08/10),51,"¥963,204 ",79.6%,10,"¥1,446,829 ",105.8%,5,"¥1,745,242 ",101.7%,37,"¥302,890 ",86.1%,26,"¥114,985 ",77.9%,43,¥0 ,0.0%,35,"¥13,592 ",30.6%,36,"¥233,549 ",90.2%,9,"¥29,653 ",153.2%
2025年20週(2025/08/11~2025/08/17),41,"¥1,115,962 ",100.5%,6,"¥1,501,314 ",97.5%,3,"¥1,798,624 ",100.5%,17,"¥460,510 ",76.7%,52,"¥47,172 ",30.2%,32,"¥11,245 ",0.0%,52,"¥6,274 ",8.0%,11,"¥263,610 ",93.7%,28,"¥24,044 ",115.1%
2025年21週(2025/08/18~2025/08/24),52,"¥955,534 ",92.0%,31,"¥1,262,590 ",85.7%,8,"¥1,655,131 ",92.7%,44,"¥210,679 ",99.2%,50,"¥68,578 ",45.2%,44,¥0 ,0.0%,45,"¥11,134 ",22.7%,25,"¥246,089 ",82.9%,39,"¥21,443 ",92.0%
2025年22週(2025/08/25~2025/08/31),46,"¥1,018,874 ",96.2%,50,"¥995,237 ",93.0%,18,"¥1,421,003 ",86.6%,52,"¥103,900 ",45.3%,27,"¥113,835 ",76.7%,45,¥0 ,0.0%,47,"¥10,492 ",31.6%,14,"¥261,169 ",78.0%,38,"¥21,760 ",108.2%
2025年23週(2025/09/01~2025/09/07),50,"¥963,710 ",87.9%,25,"¥1,290,896 ",78.6%,16,"¥1,445,960 ",91.5%,51,"¥109,991 ",37.3%,32,"¥93,931 ",63.8%,46,¥0 ,0.0%,34,"¥14,301 ",17.0%,35,"¥234,884 ",84.5%,40,"¥21,045 ",105.9%
2025年24週(2025/09/08~2025/09/14),37,"¥1,150,535 ",100.4%,28,"¥1,270,910 ",85.7%,22,"¥1,221,164 ",80.6%,47,"¥186,171 ",45.3%,41,"¥79,772 ",54.7%,47,¥0 ,0.0%,19,"¥23,948 ",71.9%,40,"¥231,574 ",81.6%,43,"¥20,863 ",106.4%
2025年25週(2025/09/15~2025/09/21),48,"¥996,396 ",93.3%,9,"¥1,473,127 ",105.9%,21,"¥1,277,560 ",93.9%,43,"¥227,673 ",37.4%,31,"¥97,303 ",69.2%,48,¥0 ,0.0%,4,"¥87,584 ",356.2%,31,"¥238,409 ",77.3%,41,"¥20,883 ",100.9%
2025年26週(2025/09/22~2025/09/28),49,"¥995,171 ",87.0%,38,"¥1,203,701 ",80.9%,24,"¥1,216,105 ",87.0%,29,"¥366,315 ",69.6%,36,"¥88,240 ",62.2%,49,¥0 ,0.0%,12,"¥36,405 ",212.6%,37,"¥232,880 ",76.0%,51,"¥15,021 ",63.2%
2025年27週(2025/09/29~2025/10/05),47,"¥1,004,111 ",87.3%,23,"¥1,311,563 ",120.3%,25,"¥1,204,115 ",95.2%,34,"¥320,960 ",53.0%,30,"¥97,468 ",65.2%,50,¥0 ,0.0%,6,"¥69,921 ",631.9%,41,"¥225,717 ",77.1%,48,"¥18,794 ",110.6%
2025年28週(2025/10/06~2025/10/12),40,"¥1,126,605 ",93.0%,36,"¥1,209,993 ",109.2%,28,"¥949,339 ",74.9%,22,"¥403,436 ",60.1%,35,"¥89,271 ",60.9%,51,¥0 ,0.0%,16,"¥27,607 ",135.7%,32,"¥237,516 ",71.1%,24,"¥25,821 ",112.3%
2025年29週(2025/10/13~2025/10/19),34,"¥1,241,972 ",85.4%,14,"¥1,424,571 ",107.8%,45,"¥651,972 ",60.7%,30,"¥357,646 ",55.8%,37,"¥86,136 ",60.3%,52,¥0 ,0.0%,7,"¥58,429 ",287.1%,13,"¥262,391 ",80.3%,11,"¥28,607 ",94.0%
2025年30週(2025/10/20~2025/10/26),32,"¥1,365,502 ",84.1%,32,"¥1,254,669 ",76.7%,43,"¥664,629 ",67.1%,27,"¥374,077 ",68.0%,43,"¥77,257 ",54.1%,33,"¥8,990 ",112.9%,14,"¥31,774 ",121.8%,28,"¥240,722 ",99.9%,17,"¥27,946 ",110.6%
2025年31週(2025/10/27~2025/11/02),28,"¥1,565,945 ",86.7%,29,"¥1,268,791 ",82.6%,35,"¥792,634 ",78.9%,24,"¥393,354 ",75.0%,51,"¥59,969 ",46.6%,28,"¥25,200 ",61.9%,10,"¥40,806 ",277.5%,34,"¥235,530 ",87.7%,6,"¥31,507 ",175.9%
2025年32週(2025/11/03~2025/11/09),26,"¥1,707,365 ",82.8%,47,"¥1,050,964 ",91.8%,50,"¥607,629 ",57.8%,8,"¥1,033,874 ",75.9%,45,"¥75,872 ",85.1%,19,"¥99,000 ",97.2%,18,"¥24,171 ",189.3%,26,"¥243,485 ",90.5%,13,"¥28,389 ",109.4%
2025年33週(2025/11/10~2025/11/16),19,"¥2,033,746 ",81.8%,33,"¥1,250,843 ",92.3%,49,"¥608,151 ",60.2%,1,"¥3,903,225 ",128.8%,39,"¥83,849 ",125.3%,18,"¥109,840 ",46.0%,43,"¥11,199 ",51.2%,29,"¥240,609 ",97.3%,42,"¥20,867 ",76.2%
2025年34週(2025/11/17~2025/11/23),17,"¥2,113,056 ",71.4%,30,"¥1,268,381 ",103.4%,42,"¥684,829 ",78.1%,3,"¥2,855,197 ",164.6%,42,"¥77,834 ",107.8%,14,"¥196,368 ",86.2%,15,"¥29,458 ",287.5%,46,"¥218,408 ",85.6%,18,"¥27,907 ",89.7%
2025年35週(2025/11/24~2025/11/30),18,"¥2,068,378 ",70.5%,40,"¥1,181,894 ",102.6%,31,"¥836,804 ",96.7%,4,"¥2,618,561 ",226.6%,44,"¥77,114 ",102.1%,12,"¥203,976 ",41.1%,25,"¥19,026 ",94.8%,43,"¥221,977 ",82.3%,29,"¥23,711 ",90.2%
2025年36週(2025/12/01~2025/12/07),11,"¥2,833,902 ",69.4%,8,"¥1,491,529 ",123.3%,32,"¥820,795 ",88.2%,5,"¥1,985,723 ",170.4%,47,"¥74,935 ",114.1%,8,"¥638,816 ",66.3%,8,"¥52,445 ",75.9%,33,"¥237,333 ",83.4%,14,"¥28,325 ",89.4%
2025年37週(2025/12/08~2025/12/14),13,"¥2,605,036 ",66.2%,37,"¥1,207,782 ",109.0%,47,"¥627,180 ",76.9%,7,"¥1,150,897 ",116.8%,46,"¥75,158 ",110.0%,7,"¥705,440 ",64.7%,5,"¥78,257 ",53.8%,51,"¥202,961 ",87.3%,7,"¥30,891 ",116.3%
2025年38週(2025/12/15~2025/12/21),16,"¥2,365,531 ",54.2%,4,"¥1,653,657 ",88.1%,41,"¥702,099 ",96.1%,9,"¥884,760 ",71.9%,49,"¥73,037 ",114.4%,4,"¥971,460 ",84.5%,3,"¥154,232 ",60.6%,47,"¥213,921 ",73.2%,8,"¥30,739 ",84.0%
2025年39週(2025/12/22~2025/12/28),12,"¥2,758,352 ",58.4%,1,"¥5,549,761 ",96.9%,44,"¥660,301 ",102.5%,6,"¥1,371,254 ",79.5%,3,"¥219,827 ",55.8%,2,"¥3,100,640 ",73.2%,1,"¥727,034 ",82.8%,4,"¥315,735 ",88.0%,1,"¥55,313 ",152.4%
2025年40週(2025/12/29~2026/01/04),10,"¥2,879,960 ",90.3%,2,"¥5,007,259 ",113.9%,52,"¥315,362 ",83.9%,2,"¥3,240,655 ",107.1%,1,"¥338,295 ",148.5%,1,"¥5,983,884 ",113.5%,2,"¥522,842 ",137.9%,45,"¥220,048 ",104.8%,2,"¥39,158 ",110.7%
2025年41週(2026/01/05~2026/01/11),15,"¥2,453,464 ",62.9%,13,"¥1,428,266 ",121.0%,39,"¥735,881 ",94.4%,10,"¥855,786 ",129.8%,29,"¥97,808 ",89.2%,5,"¥813,090 ",112.3%,13,"¥32,708 ",84.7%,52,"¥169,404 ",81.0%,49,"¥16,720 ",82.8%
2025年42週(2026/01/12~2026/01/18),9,"¥2,911,488 ",72.5%,24,"¥1,301,136 ",133.9%,48,"¥622,180 ",76.3%,15,"¥489,881 ",92.5%,48,"¥74,773 ",69.0%,9,"¥536,424 ",115.1%,11,"¥36,761 ",91.9%,50,"¥208,713 ",88.8%,22,"¥27,218 ",134.5%
2025年43週(2026/01/19~2026/01/25),4,"¥3,174,410 ",76.1%,51,"¥930,283 ",82.1%,40,"¥711,722 ",87.4%,16,"¥480,147 ",50.3%,40,"¥82,851 ",65.1%,3,"¥1,303,141 ",318.7%,30,"¥15,894 ",38.5%,48,"¥212,106 ",73.5%,52,"¥12,384 ",63.5%
2025年44週(2026/01/26~2026/02/01),8,"¥2,925,941 ",75.9%,35,"¥1,245,402 ",122.8%,46,"¥645,277 ",79.7%,32,"¥347,683 ",55.4%,38,"¥85,011 ",61.7%,6,"¥783,908 ",278.2%,22,"¥20,774 ",60.5%,49,"¥212,058 ",79.4%,33,"¥22,514 ",109.2%
2025年45週(2026/02/02~2026/02/08),6,"¥3,021,300 ",73.6%,21,"¥1,314,192 ",101.5%,51,"¥545,666 ",80.7%,28,"¥372,104 ",66.3%,28,"¥99,915 ",77.9%,11,"¥344,400 ",86.5%,9,"¥51,084 ",224.8%,42,"¥223,497 ",89.1%,20,"¥27,657 ",126.8%
2025年46週(2026/02/09~2026/02/15),3,"¥3,288,525 ",84.6%,45,"¥1,113,455 ",99.7%,38,"¥748,932 ",106.9%,11,"¥778,585 ",127.8%,23,"¥131,170 ",93.2%,10,"¥377,134 ",83.9%,21,"¥21,351 ",82.0%,27,"¥242,874 ",88.3%,34,"¥22,317 ",110.9%
2025年47週(2026/02/16~2026/02/22),5,"¥3,161,666 ",71.0%,26,"¥1,287,028 ",115.7%,29,"¥911,614 ",109.4%,13,"¥720,035 ",129.9%,22,"¥132,787 ",97.7%,13,"¥197,209 ",54.4%,20,"¥23,944 ",91.8%,44,"¥220,773 ",88.2%,35,"¥22,314 ",99.5%
2025年48週(2026/02/23~2026/03/01),2,"¥3,437,075 ",76.5%,48,"¥1,023,297 ",85.9%,36,"¥782,379 ",76.3%,21,"¥410,775 ",66.3%,15,"¥155,658 ",112.5%,15,"¥184,272 ",72.1%,28,"¥16,806 ",59.3%,8,"¥271,912 ",104.3%,46,"¥19,994 ",117.7%
2025年49週(2026/03/02~2026/03/08),1,"¥4,357,223 ",99.5%,20,"¥1,316,387 ",108.9%,37,"¥755,065 ",71.9%,12,"¥729,613 ",67.6%,10,"¥161,112 ",118.0%,16,"¥156,686 ",71.2%,24,"¥19,666 ",62.4%,20,"¥253,380 ",90.7%,30,"¥22,915 ",128.8%
2025年50週(2026/03/09~2026/03/15),7,"¥2,939,983 ",83.8%,49,"¥1,020,982 ",142.2%,34,"¥806,399 ",73.0%,18,"¥457,866 ",82.5%,9,"¥161,298 ",99.9%,17,"¥111,975 ",55.4%,50,"¥7,627 ",36.2%,38,"¥232,112 ",82.9%,25,"¥25,089 ",151.2%
2025年51週(2026/03/16~2026/03/22),14,"¥2,544,451 ",74.6%,52,"¥840,977 ",72.5%,33,"¥808,323 ",72.3%,35,"¥316,621 ",68.4%,8,"¥162,067 ",106.0%,21,"¥76,284 ",46.1%,37,"¥13,058 ",51.4%,1,"¥338,283 ",128.1%,50,"¥16,057 ",54.0%
2025年52週(2026/03/23~2026/03/29),22,"¥1,888,823 ",74.0%,34,"¥1,245,647 ",93.7%,27,"¥1,011,351 ",84.9%,49,"¥151,879 ",37.0%,17,"¥151,450 ",93.1%,24,"¥47,495 ",48.5%,51,"¥6,951 ",33.6%,2,"¥330,437 ",127.4%,37,"¥21,818 ",48.9%
