販売管理表(部門別５２週推移),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間開始：2025年01週 (2025年03月31日〜2025年04月06日),,,,,,,,,,,,,,,,,,,,,,,,,,,
対象期間終了：2025年52週 (2026年03月23日〜2026年03月29日),,,,,,,,,,,,,,,,,,,,,,,,,,,
"対象店舗：王子店,塚口店,夙川店,芦屋店,門戸店,箕面店,岡本店,有野店,六甲店,御影店,甲子園店,宝塚店,甲陽園店,摂津本山店,逆瀬川店,高槻店,大阪店,三宮店,南海なんば店,伊丹店,豊中店,豊中緑丘店,智頭店,常盤店",,,,,,,,,,,,,,,,,,,,,,,,,,,
商品条件：03:精肉⇒033:鶏肉,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,003301:ﾓﾓ,003301:ﾓﾓ,003301:ﾓﾓ,003302:ﾑﾈ,003302:ﾑﾈ,003302:ﾑﾈ,003303:ｻｻﾐ,003303:ｻｻﾐ,003303:ｻｻﾐ,003304:骨物,003304:骨物,003304:骨物,003305:内臓物,003305:内臓物,003305:内臓物,003306:合わせ,003306:合わせ,003306:合わせ,003307:丸物,003307:丸物,003307:丸物,003308:鴨肉,003308:鴨肉,003308:鴨肉,003399:代表ｺｰﾄﾞ,003399:代表ｺｰﾄﾞ,003399:代表ｺｰﾄﾞ
MD週,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比,売上高ランク,売上高,売上高前年比
2025年15週(2025/07/07~2025/07/13),41,"¥4,340,158 ",113.2%,21,"¥679,461 ",105.7%,13,"¥702,038 ",96.1%,36,"¥763,892 ",87.9%,39,"¥214,035 ",106.4%,49,"¥24,655 ",21.9%,31,¥0 ,0.0%,46,"¥151,363 ",94.5%,48,(¥620),-295.2%
2025年16週(2025/07/14~2025/07/20),49,"¥4,151,592 ",101.6%,26,"¥671,221 ",104.0%,28,"¥663,165 ",84.7%,45,"¥741,813 ",101.0%,38,"¥216,725 ",100.0%,52,"¥17,088 ",18.0%,32,¥0 ,0.0%,40,"¥170,057 ",101.8%,3,¥764 ,8.4%
2025年17週(2025/07/21~2025/07/27),42,"¥4,330,903 ",110.6%,22,"¥677,278 ",109.5%,30,"¥660,505 ",106.6%,47,"¥730,480 ",84.1%,37,"¥217,357 ",106.5%,41,"¥28,106 ",24.4%,33,¥0 ,0.0%,42,"¥161,391 ",102.7%,7,¥456 ,0.0%
2025年18週(2025/07/28~2025/08/03),50,"¥4,120,800 ",106.3%,31,"¥656,434 ",112.6%,40,"¥609,800 ",80.2%,40,"¥754,721 ",106.6%,42,"¥213,365 ",109.7%,43,"¥26,503 ",24.2%,34,¥0 ,0.0%,48,"¥136,893 ",98.5%,11,¥204 ,53.1%
2025年19週(2025/08/04~2025/08/10),51,"¥4,069,766 ",101.1%,32,"¥654,471 ",112.3%,14,"¥699,523 ",100.8%,32,"¥792,947 ",90.4%,44,"¥210,428 ",103.4%,51,"¥18,969 ",16.8%,16,"¥3,500 ",0.0%,41,"¥164,552 ",121.9%,2,¥829 ,6.0%
2025年20週(2025/08/11~2025/08/17),29,"¥4,644,708 ",110.5%,45,"¥603,818 ",104.5%,6,"¥730,009 ",118.1%,30,"¥801,082 ",104.9%,48,"¥204,800 ",105.5%,39,"¥28,644 ",25.1%,35,¥0 ,0.0%,49,"¥128,148 ",85.1%,19,¥0 ,0.0%
2025年21週(2025/08/18~2025/08/24),44,"¥4,275,271 ",95.0%,16,"¥698,945 ",105.6%,25,"¥670,300 ",87.2%,37,"¥761,833 ",87.2%,47,"¥204,900 ",95.4%,32,"¥35,528 ",27.5%,36,¥0 ,0.0%,51,"¥108,060 ",87.4%,41,(¥83),-0.6%
2025年22週(2025/08/25~2025/08/31),45,"¥4,218,692 ",90.5%,11,"¥727,158 ",105.3%,36,"¥642,545 ",88.3%,17,"¥836,636 ",85.7%,45,"¥207,032 ",101.6%,33,"¥34,041 ",29.9%,37,¥0 ,0.0%,50,"¥119,498 ",91.6%,20,¥0 ,0.0%
2025年23週(2025/09/01~2025/09/07),40,"¥4,407,076 ",107.8%,25,"¥671,358 ",104.1%,4,"¥736,833 ",111.1%,41,"¥754,272 ",94.6%,40,"¥213,960 ",104.4%,31,"¥36,475 ",35.6%,38,¥0 ,0.0%,52,"¥107,404 ",75.5%,21,¥0 ,0.0%
2025年24週(2025/09/08~2025/09/14),52,"¥3,908,322 ",95.8%,33,"¥652,343 ",111.8%,44,"¥577,707 ",91.0%,39,"¥756,335 ",94.2%,50,"¥184,483 ",92.7%,28,"¥38,434 ",41.7%,39,¥0 ,0.0%,45,"¥154,956 ",103.1%,22,¥0 ,0.0%
2025年25週(2025/09/15~2025/09/21),36,"¥4,443,787 ",109.0%,35,"¥637,416 ",106.9%,16,"¥694,407 ",101.8%,49,"¥721,164 ",87.7%,36,"¥218,543 ",110.4%,37,"¥30,896 ",30.0%,40,¥0 ,0.0%,43,"¥159,513 ",103.0%,23,¥0 ,0.0%
2025年26週(2025/09/22~2025/09/28),26,"¥4,672,494 ",102.4%,18,"¥691,120 ",107.5%,24,"¥672,939 ",92.3%,34,"¥791,228 ",92.1%,46,"¥206,502 ",100.3%,26,"¥45,182 ",43.6%,41,¥0 ,0.0%,44,"¥158,054 ",104.8%,46,(¥562),-358.0%
2025年27週(2025/09/29~2025/10/05),28,"¥4,645,801 ",103.0%,28,"¥665,639 ",101.4%,38,"¥621,076 ",88.8%,26,"¥816,272 ",94.1%,34,"¥219,180 ",113.1%,19,"¥69,043 ",44.4%,42,¥0 ,0.0%,38,"¥173,227 ",82.5%,24,¥0 ,0.0%
2025年28週(2025/10/06~2025/10/12),31,"¥4,562,038 ",99.0%,29,"¥665,088 ",107.1%,19,"¥687,658 ",110.8%,27,"¥812,244 ",96.4%,27,"¥223,274 ",108.6%,15,"¥72,979 ",56.3%,43,¥0 ,0.0%,26,"¥220,986 ",103.3%,8,¥300 ,2.4%
